model,mode,arm,chunk_id,ppl,kl,flip
Llama-3.3-70B-Instruct,scale,wino_fp8 all,1,5.099285,0.642254,0.270508
Llama-3.3-70B-Instruct,scale,wino_fp8 all,2,5.095197,0.640567,0.302734
Llama-3.3-70B-Instruct,scale,wino_fp8 all,3,6.341833,0.767473,0.305664
Llama-3.3-70B-Instruct,scale,wino_fp8 all,4,6.460814,0.892253,0.334961
Llama-3.3-70B-Instruct,scale,wino_fp8 all,5,6.928789,0.662530,0.299805
Llama-3.3-70B-Instruct,scale,wino_fp8 all,6,6.555812,0.363528,0.223633
Llama-3.3-70B-Instruct,scale,wino_fp8 all,7,5.266562,0.181657,0.172852
Llama-3.3-70B-Instruct,scale,wino_fp8 all,8,6.487402,0.173831,0.166016
Llama-3.3-70B-Instruct,scale,wino_fp8 all,9,5.062553,0.341244,0.211914
Llama-3.3-70B-Instruct,scale,wino_fp8 all,10,4.878945,0.233881,0.154297
Llama-3.3-70B-Instruct,scale,wino_fp8 all,11,3.141433,0.381250,0.180664
Llama-3.3-70B-Instruct,scale,wino_fp8 all,12,2.854749,0.348390,0.169922
Llama-3.3-70B-Instruct,scale,wino_fp8 all,13,4.885693,0.351850,0.210938
Llama-3.3-70B-Instruct,scale,wino_fp8 all,14,5.389205,0.238485,0.180664
Llama-3.3-70B-Instruct,scale,wino_fp8 all,15,5.811952,0.199720,0.163086
Llama-3.3-70B-Instruct,scale,wino_fp8 all,16,7.108335,0.340115,0.272461
Llama-3.3-70B-Instruct,scale,wino_fp8 all,17,8.348740,0.241184,0.226562
Llama-3.3-70B-Instruct,scale,wino_fp8 all,18,6.912996,0.214014,0.180664
Llama-3.3-70B-Instruct,scale,wino_fp8 all,19,7.087045,0.151576,0.184570
Llama-3.3-70B-Instruct,scale,wino_fp8 all,20,6.232760,0.139732,0.152344
Llama-3.3-70B-Instruct,scale,wino_fp8 all,21,5.879167,0.107485,0.152344
Llama-3.3-70B-Instruct,scale,wino_fp8 all,22,11.830793,0.141026,0.163086
Llama-3.3-70B-Instruct,scale,wino_fp8 all,23,4.310251,0.686350,0.259766
Llama-3.3-70B-Instruct,scale,wino_fp8 all,24,7.307267,0.529470,0.291992
Llama-3.3-70B-Instruct,scale,wino_fp8 all,25,8.076651,0.170836,0.162109
Llama-3.3-70B-Instruct,scale,wino_fp8 all,26,9.157226,0.185509,0.198242
Llama-3.3-70B-Instruct,scale,wino_fp8 all,27,7.233590,0.158052,0.178711
Llama-3.3-70B-Instruct,scale,wino_fp8 all,28,6.447097,0.173134,0.164062
Llama-3.3-70B-Instruct,scale,wino_fp8 all,29,8.515259,0.307862,0.206055
Llama-3.3-70B-Instruct,scale,wino_fp8 all,30,9.253912,0.149941,0.181641
Llama-3.3-70B-Instruct,scale,wino_fp8 all,31,9.370956,0.217946,0.214844
Llama-3.3-70B-Instruct,scale,wino_fp8 body,0,4.302561,0.146612,0.114258
Llama-3.3-70B-Instruct,scale,wino_fp8 body,1,5.070700,0.637215,0.270508
Llama-3.3-70B-Instruct,scale,wino_fp8 body,2,5.062910,0.635615,0.293945
Llama-3.3-70B-Instruct,scale,wino_fp8 body,3,6.302368,0.762817,0.300781
Llama-3.3-70B-Instruct,scale,wino_fp8 body,4,6.417136,0.888043,0.330078
Llama-3.3-70B-Instruct,scale,wino_fp8 body,5,6.916167,0.658527,0.296875
Llama-3.3-70B-Instruct,scale,wino_fp8 body,6,6.514165,0.355336,0.227539
Llama-3.3-70B-Instruct,scale,wino_fp8 body,7,5.205427,0.175741,0.166992
Llama-3.3-70B-Instruct,scale,wino_fp8 body,8,6.472186,0.167875,0.157227
Llama-3.3-70B-Instruct,scale,wino_fp8 body,9,5.059865,0.339171,0.204102
Llama-3.3-70B-Instruct,scale,wino_fp8 body,10,4.869585,0.229878,0.149414
Llama-3.3-70B-Instruct,scale,wino_fp8 body,11,3.138580,0.378298,0.185547
Llama-3.3-70B-Instruct,scale,wino_fp8 body,12,2.844797,0.349246,0.166992
Llama-3.3-70B-Instruct,scale,wino_fp8 body,13,4.865947,0.347249,0.207031
Llama-3.3-70B-Instruct,scale,wino_fp8 body,14,5.398392,0.234065,0.181641
Llama-3.3-70B-Instruct,scale,wino_fp8 body,15,5.778611,0.195463,0.157227
Llama-3.3-70B-Instruct,scale,wino_fp8 body,16,7.094267,0.335701,0.260742
Llama-3.3-70B-Instruct,scale,wino_fp8 body,17,8.361626,0.235445,0.222656
Llama-3.3-70B-Instruct,scale,wino_fp8 body,18,6.864274,0.208420,0.184570
Llama-3.3-70B-Instruct,scale,wino_fp8 body,19,7.058013,0.146090,0.171875
Llama-3.3-70B-Instruct,scale,wino_fp8 body,20,6.223249,0.134218,0.147461
Llama-3.3-70B-Instruct,scale,wino_fp8 body,21,5.881120,0.103083,0.134766
Llama-3.3-70B-Instruct,scale,wino_fp8 body,22,11.798214,0.134995,0.147461
Llama-3.3-70B-Instruct,scale,wino_fp8 body,23,4.274493,0.678470,0.261719
