model,mode,arm,chunk_id,ppl,kl,flip
Qwen2.5-72B-Instruct,scale,wino_fp8 all,1,4.351855,0.500091,0.185547
Qwen2.5-72B-Instruct,scale,wino_fp8 all,2,2.806172,0.576904,0.200195
Qwen2.5-72B-Instruct,scale,wino_fp8 all,3,2.732609,0.459981,0.170898
Qwen2.5-72B-Instruct,scale,wino_fp8 all,4,3.847579,0.715497,0.231445
Qwen2.5-72B-Instruct,scale,wino_fp8 all,5,3.136229,0.643102,0.223633
Qwen2.5-72B-Instruct,scale,wino_fp8 all,6,5.255270,0.489183,0.234375
Qwen2.5-72B-Instruct,scale,wino_fp8 all,7,8.517341,0.163291,0.157227
Qwen2.5-72B-Instruct,scale,wino_fp8 all,8,5.535768,0.145713,0.163086
Qwen2.5-72B-Instruct,scale,wino_fp8 all,9,7.310143,0.463821,0.233398
Qwen2.5-72B-Instruct,scale,wino_fp8 all,10,5.044354,0.131626,0.117188
Qwen2.5-72B-Instruct,scale,wino_fp8 all,11,2.766112,0.102620,0.109375
Qwen2.5-72B-Instruct,scale,wino_fp8 all,12,2.892058,0.110990,0.102539
Qwen2.5-72B-Instruct,scale,wino_fp8 all,13,2.546716,0.200260,0.113281
Qwen2.5-72B-Instruct,scale,wino_fp8 all,14,4.506923,0.109948,0.112305
Qwen2.5-72B-Instruct,scale,wino_fp8 all,15,5.460304,0.122593,0.139648
Qwen2.5-72B-Instruct,scale,wino_fp8 all,16,5.045391,0.136092,0.154297
Qwen2.5-72B-Instruct,scale,wino_fp8 all,17,6.854992,0.141073,0.188477
Qwen2.5-72B-Instruct,scale,wino_fp8 all,18,7.989909,0.159387,0.184570
Qwen2.5-72B-Instruct,scale,wino_fp8 all,19,7.084972,0.140160,0.161133
Qwen2.5-72B-Instruct,scale,wino_fp8 all,20,7.315368,0.161666,0.183594
Qwen2.5-72B-Instruct,scale,wino_fp8 all,21,7.849055,0.149663,0.159180
Qwen2.5-72B-Instruct,scale,wino_fp8 all,22,6.097215,0.153065,0.144531
Qwen2.5-72B-Instruct,scale,wino_fp8 all,23,9.446473,0.111447,0.151367
Qwen2.5-72B-Instruct,scale,wino_fp8 all,24,5.233269,0.489664,0.229492
